id,value
houses,
houses.98019,
houses.98019.1,6
houses.98019.3,99
houses.98019.2,9
houses.98019.5,12
houses.98019.4,63
houses.98019.6,1
houses.98038,
houses.98038.1,2
houses.98038.0,1
houses.98038.3,292
houses.98038.2,29
houses.98038.5,27
houses.98038.4,239
houses.98119,
houses.98119.3,81
houses.98119.2,41
houses.98119.5,11
houses.98119.4,43
houses.98119.6,8
houses.98116,
houses.98116.1,5
houses.98116.3,161
houses.98116.2,73
houses.98116.5,10
houses.98116.4,79
houses.98116.6,2
houses.98117,
houses.98117.1,13
houses.98117.3,243
houses.98117.2,152
houses.98117.5,19
houses.98117.4,115
houses.98117.7,3
houses.98117.6,8
houses.98115,
houses.98115.1,6
houses.98115.3,226
houses.98115.2,135
houses.98115.5,38
houses.98115.4,172
houses.98115.6,6
houses.98112,
houses.98112.1,2
houses.98112.3,94
houses.98112.2,45
houses.98112.5,29
houses.98112.4,88
houses.98112.7,1
houses.98112.6,7
houses.98112.8,3
houses.98033,
houses.98033.1,2
houses.98033.3,187
houses.98033.2,26
houses.98033.5,42
houses.98033.4,169
houses.98033.7,1
houses.98033.6,5
houses.98032,
houses.98032.3,64
houses.98032.2,12
houses.98032.5,8
houses.98032.4,39
houses.98032.6,2
houses.98092,
houses.98092.1,1
houses.98092.3,174
houses.98092.2,10
houses.98092.5,17
houses.98092.4,147
houses.98092.7,1
houses.98092.6,1
houses.98198,
houses.98198.1,6
houses.98198.3,137
houses.98198.2,46
houses.98198.5,16
houses.98198.4,74
houses.98198.6,1
houses.98199,
houses.98199.1,3
houses.98199.3,135
houses.98199.2,65
houses.98199.5,15
houses.98199.4,95
houses.98199.7,1
houses.98199.6,3
houses.zipcode,
houses.zipcode.bedrooms,1
houses.98005,
houses.98005.3,59
houses.98005.2,1
houses.98005.5,24
houses.98005.4,78
houses.98005.6,6
houses.98006,
houses.98006.10,1
houses.98006.3,172
houses.98006.2,9
houses.98006.5,74
houses.98006.4,227
houses.98006.7,1
houses.98006.6,14
houses.98146,
houses.98146.1,7
houses.98146.3,133
houses.98146.2,62
houses.98146.5,14
houses.98146.4,66
houses.98146.6,6
houses.98166,
houses.98166.1,3
houses.98166.3,128
houses.98166.2,25
houses.98166.5,18
houses.98166.4,75
houses.98166.7,1
houses.98166.6,4
houses.98042,
houses.98042.1,1
houses.98042.0,1
houses.98042.3,317
houses.98042.2,20
houses.98042.5,28
houses.98042.4,178
houses.98042.6,3
houses.98008,
houses.98008.3,122
houses.98008.2,6
houses.98008.5,44
houses.98008.4,104
houses.98008.7,1
houses.98008.6,6
houses.98045,
houses.98045.1,2
houses.98045.3,139
houses.98045.2,16
houses.98045.5,7
houses.98045.4,57
houses.98028,
houses.98028.3,132
houses.98028.2,21
houses.98028.5,21
houses.98028.4,106
houses.98028.6,3
houses.98105,
houses.98105.10,1
houses.98105.1,1
houses.98105.3,83
houses.98105.2,41
houses.98105.5,24
houses.98105.4,65
houses.98105.7,1
houses.98105.6,8
houses.98105.9,3
houses.98105.8,2
houses.98024,
houses.98024.0,1
houses.98024.3,44
houses.98024.2,9
houses.98024.5,7
houses.98024.4,19
houses.98024.6,1
houses.98065,
houses.98065.1,2
houses.98065.0,2
houses.98065.3,131
houses.98065.2,19
houses.98065.5,31
houses.98065.4,123
houses.98065.6,2
houses.98022,
houses.98022.1,5
houses.98022.3,145
houses.98022.2,24
houses.98022.5,5
houses.98022.4,53
houses.98022.6,2
houses.98023,
houses.98023.3,281
houses.98023.2,17
houses.98023.5,24
houses.98023.4,175
houses.98023.6,2
houses.98125,
houses.98125.1,3
houses.98125.0,1
houses.98125.3,206
houses.98125.2,74
houses.98125.5,18
houses.98125.4,98
houses.98125.7,2
houses.98125.6,8
houses.98102,
houses.98102.0,1
houses.98102.3,51
houses.98102.2,23
houses.98102.5,5
houses.98102.4,20
houses.98102.7,1
houses.98102.6,2
houses.98102.9,1
houses.98188,
houses.98188.3,60
houses.98188.2,18
houses.98188.5,11
houses.98188.4,43
houses.98188.6,4
houses.98178,
houses.98178.1,2
houses.98178.3,104
houses.98178.2,51
houses.98178.5,24
houses.98178.4,78
houses.98178.6,3
houses.98070,
houses.98070.1,3
houses.98070.0,1
houses.98070.3,60
houses.98070.2,38
houses.98070.5,2
houses.98070.4,14
houses.98059,
houses.98059.1,1
houses.98059.3,178
houses.98059.2,9
houses.98059.5,52
houses.98059.4,222
houses.98059.7,1
houses.98059.6,4
houses.98059.8,1
houses.98058,
houses.98058.1,2
houses.98058.3,215
houses.98058.2,22
houses.98058.5,38
houses.98058.4,173
houses.98058.6,5
houses.98056,
houses.98056.3,191
houses.98056.2,41
houses.98056.5,33
houses.98056.4,136
houses.98056.7,1
houses.98056.6,4
houses.98053,
houses.98053.1,2
houses.98053.0,1
houses.98053.3,140
houses.98053.2,96
houses.98053.5,18
houses.98053.4,146
houses.98053.7,1
houses.98053.6,1
houses.98177,
houses.98177.1,2
houses.98177.3,121
houses.98177.2,28
houses.98177.5,19
houses.98177.4,80
houses.98177.6,5
